title,authors,published_date,categories,description,rating
The Nag Hammadi Scriptures,"Marvin W. Meyer, James M. Robinson",2010-09-14,Religion,"The Nag Hammadi Scriptures, edited by Marvin Meyer, is the most complete, up-to-date, one-volume, English-language edition of the renowned library of Gnostic manuscripts discovered in Egypt in 1945, which rivaled the Dead Sea Scrolls find in significance. It includes the Gospel of Thomas, the Gospel of Mary, and the recently discovered Gospel of Judas, as well as other Gnostic gospels and sacred texts. This volume also includes introductory essays, notes, tables, glossary, index, etc. to help the reader understand the context and contemporary significance of these texts which have shed new light on early Christianity and ancient thought. The compilation of ancient manuscripts that constitute The Nag Hammadi Scriptures is a discovery that challenges everything we thought we knew about the early Christian church, ancient Judaism, and Greco-Roman religions.",5
The Silent Patient,Alex Michaelides,2019-02-05,Fiction,"- THE RECORD-BREAKING, MULTIMILLION COPY GLOBAL BESTSELLER AND TIKTOK SENSATION - Discover the #1 New York Times and Sunday Times bestselling thriller with a jaw-dropping twist that everyone is talking about - as seen on TikTok. Soon to be a major film. Alicia Berenson lived a seemingly perfect life until one day six years ago. When she shot her husband in the head five times. Since then she hasn't spoken a single word. It's time to find out why. READERS LOVE THE SILENT PATIENT ⭐⭐⭐⭐⭐ 'Everything you need from a psychological thriller with a killer twist that is impossible to see coming!' ⭐⭐⭐⭐⭐ 'Fiendishly clever ... believe the hype.' ⭐⭐⭐⭐⭐ 'Grabs your afternoon from the start and never lets go' ⭐⭐⭐⭐⭐ 'A fantastic thriller with an incredible plot twist that I really didn't see coming. I highly recommend.' ⭐⭐⭐⭐⭐ 'OMG, my heart is still pounding from the final chapters of this amazing thriller.' ⭐⭐⭐⭐⭐ 'I'm honestly speechless, best book I have read for a very long time' ⭐⭐⭐⭐⭐ 'The twists when they come, wow oh wow!' CRITICALLY ACCLAIMED 'The perfect thriller' AJ FINN 'Terrific' - THE TIMES Crime Book of the Month 'Smart, sophisticated suspense' - LEE CHILD 'Compelling' - OBSERVER 'Absolutely brilliant' - STEPHEN FRY 'A totally original psychological mystery' - DAVID BALDACCI 'One of the best thrillers I've read this year' - CARA HUNTER 'The pace and finesse of a master' - BBC CULTURE",3
The Adapted Mind,"Jerome H. Barkow, Leda Cosmides, John Tooby",1995-10-19,Science,"Although researchers have long been aware that the species-typical architecture of the human mind is the product of our evolutionary history, it has only been in the last three decades that advances in such fields as evolutionary biology, cognitive psychology, and paleoanthropology have made the fact of our evolution illuminating. Converging findings from a variety of disciplines are leading to the emergence of a fundamentally new view of the human mind, and with it a new framework for the behavioral and social sciences. First, with the advent of the cognitive revolution, human nature can finally be defined precisely as the set of universal, species-typical information-processing programs that operate beneath the surface of expressed cultural variability. Second, this collection of cognitive programs evolved in the Pleistocene to solve the adaptive problems regularly faced by our hunter-gatherer ancestors--problems such as mate selection, language acquisition, cooperation, and sexual infidelity. Consequently, the traditional view of the mind as a general-purpose computer, tabula rasa, or passive recipient of culture is being replaced by the view that the mind resembles an intricate network of functionally specialized computers, each of which imposes contentful structure on human mental organization and culture. The Adapted Mind explores this new approach--evolutionary psychology--and its implications for a new view of culture.",5
The Road Less Traveled,M. Scott Peck,2012-03-13,Self-Help,"Now featuring a new introduction by Dr. M. Scott Peck, the twenty-fifth anniversary edition of the classic bestseller The Road Less Traveled, celebrated by The Washington Post as “not just a book but a spontaneous act of generosity.” Perhaps no book in this generation has had a more profound impact on our intellectual and spiritual lives than The Road Less Traveled. With sales of more than seven million copies in the United States and Canada, and translations into more than twenty-three languages, it has made publishing history, with more than ten years on the New York Times bestseller list. Written in a voice that is timeless in its message of understanding, The Road Less Traveled continues to help us explore the very nature of loving relationships and leads us toward a new serenity and fullness of life. It helps us learn how to distinguish dependency from love; how to become a more sensitive parent; and ultimately how to become one’s own true self. Recognizing that, as in the famous opening line of his book, “Life is difficult” and that the journey to spiritual growth is a long one, Dr. Peck never bullies his readers, but rather guides them gently through the hard and often painful process of change toward a higher level of self-understanding.",4
Esclavos de la comida,Paula García Bernácer,2020-03-16,Psychology,"Paula García Bernácer ofrece al lector una guía para comprender los trastornos alimenticios y la obsesión por el peso. La autora, que confiesa haber sido una esclava de la comida, narra su experiencia personal y detalla, uno a uno, todos los motivos y desequilibrios emocionales que pueden conducir a una persona a dejar de comer o a ingerir alimentos de forma compulsiva y desproporcionada. Tras casi veinte años de introspección, estudio de sus adicciones, observación de su anorexia y desarrollo personal, Paula García puede exponer ahora aspectos claves para convivir con este tipo de problemas y obtener una mayor estabilidad, autoconocimiento y aceptación del cuerpo y de la mente. La autora es nutricionista y coach de salud, y actualmente se forma como experta en desórdenes de la conducta alimentaria. Además, trabaja con mujeres que padecen problemas de ansiedad motivados por la comida y el peso, y ofrece soluciones desde un punto de vista más holístico.",1
Como fazer amigos e influenciar pessoas,Dale Carnegie,2019-10-01,Self-Help,"Edição atualizada para uma nova geração de líderes. “O livro de desenvolvimento pessoal mais bem-sucedido de todos os tempos. Carnegie nunca foi tão relevante.” – The Times ""Os princípios deste livro só funcionam quando são de coração. Não estou defendendo um conjunto de truques. Estou falando sobre um novo estilo de vida."" – Dale Carnegie Esta nova edição traz mudanças que atualizam a obra de Dale Carnegie, enquanto preserva a autenticidade do texto original. Partindo do princípio de que é preciso se interessar genuinamente pelos outros, Carnegie ajudou milhões de pessoas a se sentirem mais seguras, abertas e confiantes em seus encontros sociais e profissionais. Conheça algumas das habilidades que você vai aprender com este livro: • comunicar-me com mais diplomacia • aumentar sua capacidade de realizar tarefas • fazer com que as pessoas gostem de você • melhorar sua capacidade de persuasão • tornar-se uma liderança mais eficaz • sair-se bem em qualquer situação social",4
Crazy Like Us,Ethan Watters,2010-01-12,Psychology,"“A blistering and truly original work of reporting and analysis, uncovering America’s role in homogenizing how the world defines wellness and healing” (Po Bronson). In Crazy Like Us, Ethan Watters reveals that the most devastating consequence of the spread of American culture has not been our golden arches or our bomb craters but our bulldozing of the human psyche itself: We are in the process of homogenizing the way the world goes mad. It is well known that American culture is a dominant force at home and abroad; our exportation of everything from movies to junk food is a well-documented phenomenon. But is it possible America's most troubling impact on the globalizing world has yet to be accounted for? American-style depression, post-traumatic stress disorder, and anorexia have begun to spread around the world like contagions, and the virus is us. Traveling from Hong Kong to Sri Lanka to Zanzibar to Japan, acclaimed journalist Ethan Watters witnesses firsthand how Western healers often steamroll indigenous expressions of mental health and madness and replace them with our own. In teaching the rest of the world to think like us, we have been homogenizing the way the world goes mad.",3
Authentic Happiness,Martin E. P. Seligman,2002-10-02,Psychology,"A national bestseller, Authentic Happiness launched the revolutionary new science of Positive Psychology—and sparked a coast-to-coast debate on the nature of real happiness. According to esteemed psychologist and bestselling author Martin Seligman, happiness is not the result of good genes or luck. Real, lasting happiness comes from focusing on one’s personal strengths rather than weaknesses—and working with them to improve all aspects of one’s life. Using practical exercises, brief tests, and a dynamic website program, Seligman shows readers how to identify their highest virtues and use them in ways they haven’t yet considered. Accessible and proven, Authentic Happiness is the most powerful work of popular psychology in years.",4
Self-Esteem,Roy F. Baumeister,2013-11-11,Psychology,"Summarizing and integrating the major empirical research of the past twenty years, this volume presents a thorough review of the subject, with a special focus on what sets people with low self-esteem apart from others. As the subject is central to the understanding of personality, mental health, and social adjustment, this work will be appreciated by professionals and advanced students in the fields of personality, social, clinical, and organizational psychology.",3
Dominio de la Fuerza Mental,"Master Today, Roger Reed",,Self-Help,"¡Construye autoconfianza y libera tu coraje para soportar las dificultades y rendir en cualquier condición! La fortaleza mental te ayudará a elevarte por encima de muchas personas que se ven fácilmente afectadas por sus circunstancias externas, como los desafíos, los obstáculos y los contratiempos. Te permite rendir bajo presión y superar los retos de la vida. Este libro te da las claves para desarrollar una fortaleza mental auténtica. Imagina que estás enfrentándote a los problemas de la vida con la confianza, la seguridad y el valor de un león. Imagínate enfrentándote a cualquier problema o contratiempo que pueda surgir. ¿Estás preparado para ello? Si es así, ¡este libro de dominio de la fortaleza mental y la disciplina es para ti! Aumenta la confianza en ti mismo y libera tu coraje y resistencia para hacer frente a la adversidad... Persevera, maneja la presión y mantén tus planes. Deja de agotar tu energía y obtén más de la vida de lo que creías posible. Endurece tu mente y domina tu disciplina, controla tus impulsos y soporta la angustia emocional y psicológica que es la causa de la desgracia. Haz que sentirse abrumado, agotado o sobrecargado sean síntomas del pasado. En Dureza mental y dominio de la disciplina, descubrirás: · Qué es la fortaleza mental y qué no es... · Los rasgos de carácter que las personas mentalmente fuertes aprendieron para elevarse por encima de la mediocridad. · Por qué la motivación y la fuerza de voluntad no son herramientas fiables. · Cómo la disciplina te ayuda a sacar más provecho de la vida. · Cómo la fortaleza mental es el ingrediente esencial para el éxito. · Las claves para fortalecer tu mente y desbloquear el máximo rendimiento. · Cómo puedes retrasar la gratificación con facilidad. Conviértete en una persona mentalmente fuerte. El libro incluye un cuaderno de trabajo paso a paso con 15 poderosos ejercicios que te ayudarán a convertir todo lo que aprendas en hábitos diarios. Deja de rendirte cuando la vida se pone difícil. Domina tu mente y tu disciplina para ser resistente. Comienza tu entrenamiento y hazte con tu copia de este libro hoy mismo para enfrentarte a la adversidad con valentía.",5
Crushing It!,Gary Vaynerchuk,2018-01-30,Business & Economics,"Four-time New York Times bestselling author Gary Vaynerchuk offers new lessons and inspiration drawn from the experiences of dozens of influencers and entrepreneurs who rejected the predictable corporate path in favor of pursuing their dreams by building thriving businesses and extraordinary personal brands. In his 2009 international bestseller Crush It, Gary insisted that a vibrant personal brand was crucial to entrepreneurial success, In Crushing It!, Gary explains why that’s even more true today, offering his unique perspective on what has changed and what principles remain timeless. He also shares stories from other entrepreneurs who have grown wealthier—and not just financially—than they ever imagined possible by following Crush It principles. The secret to their success (and Gary’s) has everything to do with their understanding of the social media platforms, and their willingness to do whatever it took to make these tools work to their utmost potential. That’s what Crushing It! teaches readers to do. In this lively, practical, and inspiring book, Gary dissects every current major social media platform so that anyone, from a plumber to a professional ice skater, will know exactly how to amplify his or her personal brand on each. He offers both theoretical and tactical advice on how to become the biggest thing on old standbys like Twitter, Facebook, YouTube, Instagram, Pinterest, and Snapchat; podcast platforms like Spotify, Soundcloud, iHeartRadio, and iTunes; and other emerging platforms such as Musical.ly. For those with more experience, Crushing It! illuminates some little-known nuances and provides innovative tips and clever tweaks proven to enhance more common tried-and-true strategies. Crushing It! is a state-of-the-art guide to building your own path to professional and financial success, but it’s not about getting rich. It’s a blueprint to living life on your own terms.",5
Diccionario de lenguaje no verbal,Joe Navarro,2019-05-06,Psychology,"Tras el éxito internacional del bestseller «El cuerpo habla», el exagente del FBI y experto mundial en lenguaje no verbal, Joe Navarro, vuelve con su obra más práctica y útil: un novedoso diccionario en el que describe y explica más de 400 actitudes corporales y sus correspondientes interpretaciones. Un manual de referencia para entender mejor a aquellos con los que interactuamos en todos los ámbitos de nuestra vida diaria. En esta auténtica guía de campo, brillante y amena, sobre la conducta humana, el autor realiza un exhaustivo recorrido, deteniéndose en cada parte del cuerpo desvelando las claves de nuestras actitudes conscientes e inconscientes. Por ejemplo cómo detectar preocupación o engaño en los labios de nuestro interlocutor; cuáles son las múltiples maneras de cruzar los brazos y qué significa cada una de ellas; cómo la posición de los pulgares al apoyarnos las manos en la cadera refleja nuestro estado mental... y otras muchas revelaciones fascinantes. Los lectores acudirán a estas páginas una y otra vez para descifrar el comportamiento de un jefe, interpretar las señales de una posible pareja romántica o estudiar su propio lenguaje corporal.",4
Social Support Measurement and Intervention,"Sheldon Cohen, Lynn G. Underwood, Benjamin H. Gottlieb",2000-10-19,Social Science,"Surgery and pharmaceuticals are not the only effective procedures we have to improve our health. The natural human tendency to care for fellow humans, to support them with social networks, has proven to be a powerful treatment as well. As a result, the areas of application for social support intervention have expanded dramatically during the past 20 years. As these areas have expanded, so too has the literature on the theory and measurement of social support. Yet, the literature has focussed on very particular areas. Investigators in the social sciences have mainly focused on the protection that social support confers in the context of stressful life events and transitions, whereas studies in the health sciences have concentrated on the effects of social networks and supports on population mortality and morbidity. Although no single theoretical framework has been widely accepted, there is consensus that both the psychological sense of support and actual expressions of support play critical roles in maintaining health and well being. This book is a state-of-the-art resource for the selection and development of strategies for social support assessment and intervention. Designed for use by behavioral and medical scientists conducting studies of physical illness, psychological adjustment, and psychiatric illness in human populations, this volume presents a broad conceptual framework addressing the role of social support in mental and physical health. The book is divided into four sections. The first provides some historical context as well as a conceptual overview of how social support might influence mental and physical health. The second discusses techniques for measuring social networks and support, and the third addresses the design of different types of support interventions. The final section presents some general comments on the volume and its implications for social support research and intervention. This resource is meant to aid researchers in understanding the conceptual criteria on which measurement and intervention decisions should be made when studying the relations between social support and health. Furthermore, the information provided on both measurement and intervention will be valuable to practitioners interested in designing and evaluating prevention and treatment initiatives. Sponsored by the Fetzer Institute as a follow up to their successful 1995 publication, Measuring Stress, this book will provide the most up to date research on the effects of social support interventions on physical and mental health.",5
"Good Habits, Bad Habits",Wendy Wood,2019-10-01,Science,"A landmark book about how we form habits, and what we can do with this knowledge to make positive change We spend a shocking 43 percent of our day doing things without thinking about them. That means that almost half of our actions aren’t conscious choices but the result of our non-conscious mind nudging our body to act along learned behaviors. How we respond to the people around us; the way we conduct ourselves in a meeting; what we buy; when and how we exercise, eat, and drink—a truly remarkable number of things we do every day, regardless of their complexity, operate outside of our awareness. We do them automatically. We do them by habit. And yet, whenever we want to change something about ourselves, we rely on willpower. We keep turning to our conscious selves, hoping that our determination and intention will be enough to effect positive change. And that is why almost all of us fail. But what if you could harness the extraordinary power of your unconscious mind, which already determines so much of what you do, to truly reach your goals? Wendy Wood draws on three decades of original research to explain the fascinating science of how we form habits, and offers the key to unlocking our habitual mind in order to make the changes we seek. A potent mix of neuroscience, case studies, and experiments conducted in her lab, Good Habits, Bad Habits is a comprehensive, accessible, and above all deeply practical book that will change the way you think about almost every aspect of your life. By explaining how our brains are wired to respond to rewards, receive cues from our surroundings, and shut down when faced with too much friction, Wood skillfully dissects habit formation, demonstrating how we can take advantage of this knowledge to form better habits. Her clear and incisive work shows why willpower alone is woefully inadequate when we’re working toward building the life we truly want, and offers real hope for those who want to make positive change.",5
"El psiquiatra, su ""loco"" y el psicoanálisis",Maud Mannoni,2000,Psychology,"Una sociedad ""hace sus locos"", define su situacion de locos y crea, para ocuparse de ellos una institucion que solo puede transformarlos en ""objetos"". No es posible rechazar esta objetivacion sin cuestionar tanto las instituciones psiquiatricas en su funcionamiento actual como la psiquiatria misma, al psiquiatra en su posicion de representante del grupo dominante y a las ciencias sociales a las que se refiere la psiquiatria. Todo esto desemboca en lo que se podria llamar Politica Psiquiatrica: la autora toma clara posicion entre el conservadurismo de la institucion psiquiatrica y los prestigios de lo imaginario ante los cuales podrian cerer algunas politizaciones",4.5
Neurociencia del cuerpo,Nazareth Castellanos,2022-09-07,Psychology,"La neurociencia vive hoy inmersa en una revolución con fuertes implicaciones clínicas, sociales y personales. El redescubrimiento de la influencia de los órganos del cuerpo sobre el cerebro nos traslada a una visión integral de la percepción. En este libro, la autora nos acompaña en un viaje a través del cuerpo para descubrir su impacto sobre las neuronas. Este recorrido nos lleva a reconocer que la memoria, la atención, el estado de ánimo o las emociones dependen de cuestiones como la postura corporal y los gestos faciales, la microbiota intestinal y el estómago, así como el complejo patrón de latidos cardíacos y la manera como respiramos. Las evidencias científicas más novedosas y rigurosas se entrelazan en esta obra con la historia de la medicina en Oriente y Occidente. Acercarse al cuerpo para conocer nuestra psicología.",1
Originals,Adam Grant,2016-02-02,Business & Economics,"The #1 New York Times bestseller that examines how people can champion new ideas in their careers and everyday life—and how leaders can fight groupthink, from the author of Hidden Potential, Think Again, and the co-author of Option B “Filled with fresh insights on a broad array of topics that are important to our personal and professional lives.”—The New York Times DealBook “Originals is one of the most important and captivating books I have ever read, full of surprising and powerful ideas. It will not only change the way you see the world; it might just change the way you live your life. And it could very well inspire you to change your world.” —Sheryl Sandberg, COO of Facebook and author of Lean In With Give and Take, Adam Grant not only introduced a landmark new paradigm for success but also established himself as one of his generation’s most compelling and provocative thought leaders. In Originals he again addresses the challenge of improving the world, but now from the perspective of becoming original: choosing to champion novel ideas and values that go against the grain, battle conformity, and buck outdated traditions. How can we originate new ideas, policies, and practices without risking it all? Using surprising studies and stories spanning business, politics, sports, and entertainment, Grant explores how to recognize a good idea, speak up without getting silenced, build a coalition of allies, choose the right time to act, and manage fear and doubt; how parents and teachers can nurture originality in children; and how leaders can build cultures that welcome dissent. Learn from an entrepreneur who pitches his start-ups by highlighting the reasons not to invest, a woman at Apple who challenged Steve Jobs from three levels below, an analyst who overturned the rule of secrecy at the CIA, a billionaire financial wizard who fires employees for failing to criticize him, and a TV executive who didn’t even work in comedy but saved Seinfeld from the cutting-room floor. The payoff is a set of groundbreaking insights about rejecting conformity and improving the status quo.",5
The Anatomy of Violence,Adrian Raine,2013-04-30,Social Science,"With a 4-page full-color insert, and black-and-white illustrations throughout Why do some innocent kids grow up to become cold-blooded serial killers? Is bad biology partly to blame? For more than three decades Adrian Raine has been researching the biological roots of violence and establishing neurocriminology, a new field that applies neuroscience techniques to investigate the causes and cures of crime. In The Anatomy of Violence, Raine dissects the criminal mind with a fascinating, readable, and far-reaching scientific journey into the body of evidence that reveals the brain to be a key culprit in crime causation. Raine documents from genetic research that the seeds of sin are sown early in life, giving rise to abnormal physiological functioning that cultivates crime. Drawing on classical case studies of well-known killers in history—including Richard Speck, Ted Kaczynski, and Henry Lee Lucas—Raine illustrates how impairments to brain areas controlling our ability to experience fear, make good decisions, and feel guilt predispose us to violence. He contends that killers can actually be coldhearted: something as simple as a low resting heart rate can give rise to violence. But arguing that biology is not destiny, he also sketches out provocative new biosocial treatment approaches that can change the brain and prevent violence. Finally, Raine tackles the thorny legal and ethical dilemmas posed by his research, visualizing a futuristic brave new world where our increasing ability to identify violent offenders early in life might shape crime-prevention policies, for good and bad. Will we sacrifice our notions of privacy and civil rights to identify children as potential killers in the hopes of helping both offenders and victims? How should we punish individuals with little to no control over their violent behavior? And should parenting require a license? The Anatomy of Violence offers a revolutionary appraisal of our understanding of criminal offending, while also raising provocative questions that challenge our core human values of free will, responsibility, and punishment.",5
Ляззат - навстречу судьбе,"Ирина Агапеева, Ляззат Ракишева",2017-05-30,Literary Collections,"Деньги от продажи книги идут в фонд помощи детям, пострадавшим от насилия. Умная, красивая, успешная женщина. Жена, мать, любимая и любящая, но так было не всегда. Младенец, выброшенный, в казахской люльке-бесике, в сугроб, в сорокоградусный мороз, чтоб умер, зверски убитая мать. Похотливые подростки, соседские пацаны, насиловавшие шестилетнюю сироту. Девочка-подросток, пешком ушедшая в райцентр, чтобы поступить в техникум и получить образование. Что такое судьба? Сколько испытаний может выпасть на долю человека? Как идти навстречу судьбе и не сломаться? На некоторые вопросы читатель найдет ответ здесь, в этой книге, на другие вопросы ответы можно получить только пережив все самому. Бесспорно одно - эта книга не оставит равнодушным никого.",5
Ethnicity and Family Therapy,"Monica McGoldrick, Joe Giordano, Nydia Garcia Preto",2005-08-18,Psychology,"This widely used clinical reference and text provides a wealth of knowledge on culturally sensitive practice with families and individuals from over 40 different ethnic groups. Each chapter demonstrates how ethnocultural factors may influence the assumptions of both clients and therapists, the issues people bring to the clinical context, and their resources for coping and problem solving.",5
Sustentabilidad y psicología positiva,Victor Corral Verdugo,2012-08-05,Psychology,"Un buen número de expertos en el estudio de las conductas protectoras del ambiente considera que dichas conductas implican molestia, sacrificio y displacer a las personas que las practican. Es decir, las consecuencias psicológicas que produce el cuidar los recursos naturales y a otras personas son de naturaleza negativa. Otros autores señalan que emociones también negativas como la culpa, la indignación, la vergüenza y el miedo se asocian a un esfuerzo insuficiente de protección ambiental, lo que impulsa a las personas a involucrarse en el cuidado ambiental. El presente libro cuestiona la pertinencia y alcance de las explicaciones del comportamiento proambiental basadas en la negatividad. A través de un recuento de estudios y marcos explicativos el texto demuestra que hay más positividad psicológica en los actos proecológicos y prosociales que lo que cualquiera podría imaginarse. Consecuentemente, el autor aborda el concepto de conductas sustentables como el conjunto de prácticas positivas (es decir, valoradas favorablemente) que tienen como antecedentes procesos psicológicos positivos y que repercuten en beneficios psicológicos para las personas que se comportan con una orientación prosustentable. Entre los beneficios que acarrea el ser proambiental se encuentran la restauración psicológica, la motivación intrínseca, el bienestar psicológico y la felicidad. La obra concluye, por lo tanto, que existe, en la aproximación psicológica positiva de la sustentabilidad, una buena dosis de esperanza para lograr cambiar los estilos de vida antiambientales que ahora prevalecen por otros más proecológicos y prosociales.",5
The Truth About Burnout,"Christina Maslach, Michael P. Leiter",2008-07-02,Psychology,"Today's workforce is experiencing job burnout in epidemic proportions. Workers at all levels, both white- and blue-collar, feel stressed out, insecure, misunderstood, undervalued, and alienated at their workplace. This original and important book debunks the common myth that when workers suffer job burnout they are solely responsible for their fatigue, anger, and don't give a damn attitude. The book clearly shows where the accountability often belongs. . . .squarely on the shoulders of the organization.",5
The Thriving Adolescent,"Louise L. Hayes, Joseph V. Ciarrochi",2015-11-01,Psychology,"Adolescents face unique pressures and worries. Will they pass high school? Should they go to college? Will they find love? And what ways do they want to act in the world? The uncertainty surrounding the future can be overwhelming. Sadly, and all too often, if things don’t go smoothly, adolescents will begin labeling themselves as losers, unpopular, unattractive, weird, or dumb. And, let’s not forget the ubiquitous ‘not good enough’ story that often begins during these formative years. These labels are often carried forward throughout life. So what can you do, now, to help lighten this lifelong burden? The Thriving Adolescent offers teachers, counselors, and mental health professionals powerful techniques for working with adolescents. Based in proven- effective acceptance and commitment therapy (ACT), the skills and tips outlined in this book will help adolescents and teens manage difficult emotions, connect with their values, achieve mindfulness and vitality, and develop positive relationships with friends and family. The evidence-based practices in this book focus on developing a strong sense of self, and will give adolescents the confidence they need to make that difficult transition into adulthood. Whether it’s school, family, or friend related, adolescents experience a profound level of stress, and often they lack the psychological tools to deal with stress in productive ways. The skills we impart to them now will help set the stage for a happy, healthy adulthood. If you work with adolescents or teens, this is a must-have addition to your professional library.",5
Barking Up the Wrong Tree,Eric Barker,2017-05-16,Business & Economics,"Wall Street Journal Bestseller Much of the advice we’ve been told about achievement is logical, earnest…and downright wrong. In Barking Up the Wrong Tree, Eric Barker reveals the extraordinary science behind what actually determines success and most importantly, how anyone can achieve it. You’ll learn: • Why valedictorians rarely become millionaires, and how your biggest weakness might actually be your greatest strength • Whether nice guys finish last and why the best lessons about cooperation come from gang members, pirates, and serial killers • Why trying to increase confidence fails and how Buddhist philosophy holds a superior solution • The secret ingredient to “grit” that Navy SEALs and disaster survivors leverage to keep going • How to find work-life balance using the strategy of Genghis Khan, the errors of Albert Einstein, and a little lesson from Spider-Man By looking at what separates the extremely successful from the rest of us, we learn what we can do to be more like them—and find out in some cases why it’s good that we aren’t. Barking Up the Wrong Tree draws on startling statistics and surprising anecdotes to help you understand what works and what doesn’t so you can stop guessing at success and start living the life you want.",2
Statistical Mechanics,Paul D. Beale,1996-09-12,Science,"'This is an excellent book from which to learn the methods and results of statistical mechanics.' Nature 'A well written graduate-level text for scientists and engineers... Highly recommended for graduate-level libraries.' ChoiceThis highly successful text, which first appeared in the year 1972 and has continued to be popular ever since, has now been brought up-to-date by incorporating the remarkable developments in the field of 'phase transitions and critical phenomena' that took place over the intervening years. This has been done by adding three new chapters (comprising over 150 pages and containing over 60 homework problems) which should enhance the usefulness of the book for both students and instructors. We trust that this classic text, which has been widely acclaimed for its clean derivations and clear explanations, will continue to provide further generations of students a sound training in the methods of statistical physics.",4.5
Psicología clínica,Pedro Sánchez Escobedo,2008-09-15,Psychology,"La presente obra representa un esfuerzo por hacer converger diversas visiones de la clínica en el ámbito de la psicología; amalgama conocimientos del campo de las neurociencias, la psiquiatría, la psicometría y de la psicoterapia; así como una perspectiva social y preventiva de las psicopatologías dándole al lector una visión holística de la salud y la enfermedad mental. Considera los escenarios profesionales y las demandas laborales del psicólogo clínico en Latinoamérica, aduce a las ventajas de la práctica clínica basada en evidencia y a la viabilidad de enfoques eclécticos y multidisciplinarios en el abordaje de los problemas más comunes de salud mental. En particular, hace énfasis en el papel del psicólogo como parte del equipo multidisciplinario así como en el desarrollo de habilidades clínicas y psicométricas.",1
Psychoacoustics,"Hugo Fastl, Eberhard Zwicker",2007-06-30,Science,"Psychoacoustics offers a unique, comprehensive summary of information describing the processing of sound by the human hearing system. The third edition includes an additional chapter on audio-visual interactions and applications, plus more on applications throughout.",4
Un cuento porno,Pulsera en el tobillo,2019-09-22,Health & Fitness,"Si una mujer perfecta está en internet, ¿por qué no estaría disponible para mi?",5
Historia de la psicología,"Milagros Sáiz Roca, Blanca Anguera Domenjó, Cristina Civera Molla, Gonzalo de la Casa Rivas",2011-07-30,Psychology,La Psicología como disciplina científica ha recorrido ya un largo camino. El Manual presta atención en su narración a los contextos y circunstancias que envolvieron el surgimiento de esta disciplina en distintos países.,3
Dibs en busca del sí mismo,Virginia M. Axline,2014-09-04,Psychology,"Este volumen está basado en la historia real de Dibs, un niño con problemas que logró reconstruir su sí mismo con su propio esfuerzo. Esto fue posible también gracias a la terapia de juego, tal como se describe minuciosamente a lo largo del libro mediante la transcripción, una a una, de las sesiones terapéuticas. La terapia de juego llevada a cabo por la psicóloga Virginia Axline, proporcionó a Dibs las condiciones relacionales que le permitieron explorar y elaborar su experiencia interna consigo mismo y con las personas significativas que le rodeaban. Aunque sin duda se trata de un libro de gran relevancia para los especialistas en terapia, también lo es para cualquier persona interesada por el aún desconocido mundo infantil y la repercusión, en el día a día, de las relaciones en el seno de las familias o de la escuela.",5
How the Way We Talk Can Change the Way We Work,"Robert Kegan, Lisa Laskow Lahey",2001-07-02,Business & Economics,"Why is the gap so great between our hopes, our intentions, even ourdecisions-and what we are actually able to bring about? Even whenwe are able to make important changes-in our own lives or thegroups we lead at work-why are the changes are so frequentlyshort-lived and we are soon back to business as usual? What can wedo to transform this troubling reality? In this intensely practical book, Harvard psychologists RobertKegan and Lisa Laskow Lahey take us on a carefully guided journeydesigned to help us answer these very questions. And not justgenerally, or in the abstract. They help each of us arrive at ourown particular answers that can solve the puzzling gap between whatwe intend and what we are able to accomplish. How the Way WeTalk Can Change the Way We Work provides you with the tools tocreate a powerful new build-it-yourself mental technology.",5
The Silent Patient,Alex Michaelides,2019-02-05,Fiction,"- THE RECORD-BREAKING, MULTIMILLION COPY GLOBAL BESTSELLER AND TIKTOK SENSATION - Discover the #1 New York Times and Sunday Times bestselling thriller with a jaw-dropping twist that everyone is talking about - as seen on TikTok. Soon to be a major film. Alicia Berenson lived a seemingly perfect life until one day six years ago. When she shot her husband in the head five times. Since then she hasn't spoken a single word. It's time to find out why. READERS LOVE THE SILENT PATIENT ⭐⭐⭐⭐⭐ 'Everything you need from a psychological thriller with a killer twist that is impossible to see coming!' ⭐⭐⭐⭐⭐ 'Fiendishly clever ... believe the hype.' ⭐⭐⭐⭐⭐ 'Grabs your afternoon from the start and never lets go' ⭐⭐⭐⭐⭐ 'A fantastic thriller with an incredible plot twist that I really didn't see coming. I highly recommend.' ⭐⭐⭐⭐⭐ 'OMG, my heart is still pounding from the final chapters of this amazing thriller.' ⭐⭐⭐⭐⭐ 'I'm honestly speechless, best book I have read for a very long time' ⭐⭐⭐⭐⭐ 'The twists when they come, wow oh wow!' CRITICALLY ACCLAIMED 'The perfect thriller' AJ FINN 'Terrific' - THE TIMES Crime Book of the Month 'Smart, sophisticated suspense' - LEE CHILD 'Compelling' - OBSERVER 'Absolutely brilliant' - STEPHEN FRY 'A totally original psychological mystery' - DAVID BALDACCI 'One of the best thrillers I've read this year' - CARA HUNTER 'The pace and finesse of a master' - BBC CULTURE",3
