title,authors,published_date,categories,description,rating,user_id
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,534
Guts: The True Stories behind Hatchet and the Brian Books,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,422
Molly Hatchet - 5 of the Best,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.33,624
Hatchet Jobs: Writings on Contemporary Fiction,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.45,443
A Changeling for All Seasons (Changeling Seasons #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.76,75
Changeling (Changeling  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,256
The Changeling Sea,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,153
The Changeling,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,538
The Changeling (Daughters of England  #15),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,380
The Known World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,371
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,515
Artesia: Adventures in the Known World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,305
The John McPhee Reader (John McPhee Reader  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.42,396
Uncommon Carriers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,600
Heirs of General Practice,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,309
The Control of Nature,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.24,396
Annals of the Former World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.34,541
Coming Into the Country,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,123
La Place de la Concorde Suisse,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,650
Giving Good Weight,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,530
Rising from the Plains,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,493
The Heidi Chronicles,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,343
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,491
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,48
Simply Beautiful Beaded Jewelry,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,538
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.46,98
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,459
Heidi (Heidi  #1-2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,320
Getting Results with Curriculum Mapping,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.25,353
There's Always Enough: The Miraculous Move of God in Mozambique,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.46,382
What to Expect the First Year (What to Expect),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,554
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,480
Simply Beautiful Beading: 53 Quick and Easy Projects,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,614
God Emperor of Dune (Dune Chronicles  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,210
Chapterhouse: Dune (Dune Chronicles #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,554
Dune Messiah (Dune Chronicles #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,453
Dreamer of Dune: The Biography of Frank Herbert,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,256
Heretics of Dune (Dune Chronicles  #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,496
The Road to Dune,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,660
Heretics of Dune (Dune Chronicles #5),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,682
The Lord of the Rings: The Art of the Fellowship of the Ring,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.59,260
The Power of One (The Power of One  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.35,518
The Power of One: One Person  One Rule  One Month,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.28,625
Power of an Hour: Business and Life Mastery in One Hour a Week,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.34,448
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.67,242
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.48,636
eBay for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.5,336
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,60
Starting an eBay Business for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,236
eBay: Top 100 Simplified Tips & Tricks,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,605
ebay Timesaving Techniques for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.39,450
eBay Business All-in-One Desk Reference for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,104
Ruby Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,271
Ruby Ann's Down Home Trailer Park Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.12,358
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,7
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.48,90
Anna Karenina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,583
CliffsNotes on Tolstoy's Anna Karenina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,673
Dinner with Anna Karenina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,2.99,96
Tolstoy: Anna Karenina,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,128
Untouchable,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.71,34
The Untouchable,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,229
The Untouchables,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,505
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,382
Dalit: The Black Untaouchables of India,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,340
Growing Up Untouchable in India: A Dalit Autobiography,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.65,675
The Evidence-Based Social Work Skills Book,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.4,276
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,619
Wrinkles in Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,182
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,58
Literature Circle Guide: A Wrinkle in Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,557
Una arruga en el tiempo – A Wrinkle in Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.0,536
The Long Shadow (The Morland Dynasty  #6),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.12,218
A Long Shadow (Inspector Ian Rutledge  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,313
Long Way Round: Chasing Shadows Across the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,61
A Shadow in Summer (Long Price Quartet  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,677
New Hope for the Dead (Hoke Mosely #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,119
Sideswipe: A Hoke Moseley Novel,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,433
Miami Blues (Hoke Moseley #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,342
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,584
I am Charlotte Simmons,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.42,425
Poetry for Young People: Edward Lear,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,551
The Puffin Book of Nonsense Verse,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,612
Henry Miller on Writing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.22,569
Quiet Days in Clichy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,422
Tropic of Cancer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,191
Tropic of Capricorn,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,491
Nexus (The Rosy Crucifixion  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,13
Sexus (The Rosy Crucifixion  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,516
The Air-Conditioned Nightmare,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,700
The Portrait of a Lady,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,29
Writing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,625
The War,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,451
The Ravishing of Lol Stein,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.66,423
Love Letters,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,207
Kahlil Gibran: His Life and World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,424
The Beloved: Reflections on the Path of the Heart,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,19
Jesus the Son of Man,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,326
The Broken Wings,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,119
Sand and Foam,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,29
Treasure Island,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,451
Treasure Island (Great Illustrated Classics),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.05,166
100 Years of Lynchings,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.61,346
Cien años de soledad,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,59
On Beyond Zebra!,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.04,536
The Wedding Clause,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,391
The Zebra Wall,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.44,91
El perfume: Historia de un asesino,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,687
The Door Into Summer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,78
Stranger in a Strange Land,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,68
To Sail Beyond the Sunset,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,607
Job: A Comedy of Justice,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,401
Time for the Stars (Heinlein's Juveniles  #10),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,608
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.06,673
The Salmon of Doubt (Dirk Gently  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,535
Wish You Were Here: The Official Biography of Douglas Adams,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,342
Douglas Adams's Starship Titanic,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,143
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,624
The Phantom Tollbooth: A Children's Play in Two Acts,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,14
On Bullshit,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.57,437
Another Bullshit Night in Suck City,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,421
Lincoln at Gettysburg: The Words That Remade America,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,443
The Gettysburg Address,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.53,67
Underworld,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.92,311
Libra,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,503
Americana,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.43,265
Running Dog,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.43,603
Cosmopolis,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.22,510
Great Jones Street,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.48,432
The Names,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,258
Against the Day,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,98
V.,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,115
The Crying of Lot 49,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,613
Gravity's Rainbow,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,304
Mason & Dixon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,657
Vineland,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,697
Slow Learner: Early Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.5,569
Been Down So Long It Looks Like Up To Me,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,368
The Year of Magical Thinking,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,573
The White Album,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,160
A Book of Common Prayer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,271
Where I Was From,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,85
Slouching Towards Bethlehem,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.21,647
Democracy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.81,465
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.5,483
Play It As It Lays,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,394
The New York Trilogy,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,218
City of Glass (The New York Trilogy  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.79,240
Ghosts (The New York Trilogy  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.64,450
The Locked Room (The New York Trilogy  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,479
Pyramids of Montauk: Explorations in Consciousness,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,657
The Brooklyn Follies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,479
Moon Palace,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.94,136
The Music of Chance,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.9,11
Travels in the Scriptorium,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.23,242
Leviathan,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,65
The Red Notebook: True Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,562
Timbuktu / Leviathan / Moon Palace,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.38,413
Collapse: How Societies Choose to Fail or Succeed,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,589
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.4,61
Collapse of Complex Societies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.15,248
Bowling Alone: The Collapse and Revival of American Community,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,500
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,650
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.39,42
My Inventions,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.01,96
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.78,421
Nikola Tesla: A Spark of Genius,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,128
Tesla Papers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,417
Boys of Summer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,152
Programming Ruby: The Pragmatic Programmers' Guide,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,657
Golding's Lord of the Flies (Cliffs Notes),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,303
Lord of the Flies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,211
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,131
We Were Not Like Other People,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.14,603
The Lovely Bones,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.81,484
Lovely in Her Bones (Elizabeth MacPherson  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,101
The Zen of CSS Design: Visual Enlightenment for the Web,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,61
HTML  XHTML  and CSS (Visual Quickstart Guide),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.8,354
1000 Record Covers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,62
Killing Yourself to Live: 85% of a True Story,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.81,102
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.73,557
Vice (V  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,243
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,19
Once Upon a Cool Motorcycle Dude,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,233
Guidebook to Zen and the Art of Motorcycle Maintenance,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.72,124
Motorcycle Basics Techbook,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.85,36
LOGO Lounge: 2 000 International Identities by Leading Designers,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,209
The Death of Ivan Ilych And Other Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,332
War and Peace,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,688
The Kingdom of God Is Within You,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.13,696
Atlas Shrugged,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.69,627
For the New Intellectual: The Philosophy of Ayn Rand,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,23
The Fountainhead,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,625
The Virtue of Selfishness: A New Concept of Egoism,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.51,477
Anthem,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.63,578
We the Living,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.91,675
Capitalism: The Unknown Ideal,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,461
Letters of Ayn Rand,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.96,526
Sailing for Dummies,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,105
Sailing from Byzantium: How a Lost Empire Shaped the World,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,483
Sailing Alone Around the Room: New and Selected Poems,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.23,326
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.62,539
"Natural Cures ""They"" Don't Want You to Know about",Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.09,643
The Natural,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.63,613
Digging to America,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.55,252
Rereading America: Cultural Contexts for Critical Thinking and Writing,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,473
Modern Latin America,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.59,608
The Plot Against America,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.77,539
Naked Pictures of Famous People,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.59,575
Collected Stories,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,382
Crónica de una muerte anunciada,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.97,505
Del amor y otros demonios,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.98,624
Living to Tell the Tale,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.99,423
Memoria de mis putas tristes,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,359
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.07,19
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.29,274
The Mini Rough Guide to London,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.75,318
Best of London (Lonely Planet Best Of),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,612
Lonely Planet Londres,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,640
Out to Eat London 2002 (Lonely Planet Out to Eat),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,0.0,668
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.88,583
Cryptonomicon,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.25,625
Le Réseau Kinakuta (Cryptonomicon  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.1,426
The Confusion (The Baroque Cycle  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.26,583
Quicksilver (The Baroque Cycle  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,538
The Cobweb,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.61,85
The Big U,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.25,54
The Diamond Age: Or  A Young Lady's Illustrated Primer,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.19,78
Interface,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.68,125
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.2,252
Snow Crash,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.03,16
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.16,563
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.24,196
The Design of Everyday Things,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,336
Emotional Design: Why We Love (or Hate) Everyday Things,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.95,439
The Psychology of Everyday Things,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.17,256
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.27,401
The Alchemist,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,647
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.57,648
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.56,86
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.57,15
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.5,298
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.55,333
The Illustrated Alchemist: A Fable about Following Your Dream,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.86,518
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.52,394
Pompeii,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.82,203
The Last Days of Pompeii,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.6,125
Of Mice and Men,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.87,505
The Game: Penetrating the Secret Society of Pickup Artists,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.74,94
The Westing Game,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.02,696
The Egypt Game,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.83,309
Memoirs of a Geisha,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.11,509
Memoirs of a Geisha: A Portrait of the Film,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.08,160
Geisha of Gion,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.93,684
Love As A Foreign Language #5,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.44,160
Jungle Love,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.41,131
The 5 Love Languages / The 5 Love Languages Journal,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,4.7,690
Angels & Demons (Robert Langdon  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,220
Ángeles y demonios (Robert Langdon  #1),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,274
Angeles & Demonios,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.89,136
The Da Vinci Code (Robert Langdon  #2),Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,177
The Da Vinci Code,Desconhecido,Data não disponível,Sem categoria,Descrição não disponível,3.84,346
